field_1,X,name,issues,basisOfRec,year,month,day,geodeticDa,decimalLon,decimalLat,optional,left,top,right,bottom,ID,left_1,top_1,right_1,bottom_1,ID_1,left_2,top_2,right_2,bottom_2,ID_2,left_3,top_3,right_3,bottom_3,ID_3,left_4,top_4,right_4,bottom_4,ID_4,left_5,top_5,right_5,bottom_5,ID_5,left_6,top_6,right_6,bottom_6,ID_6
11538,71,Rosa bridgesii,cdrep,PRESERVED_SPECIMEN,1990,5,14,WGS84,-121.34080,39.68194,TRUE,1926687.16157,854537.29784,1927937.16157,853287.29784,18538,1926687.16157,855787.29784,1929187.16157,853287.29784,4661,1926687.16157,855787.29784,1931687.16157,850787.29784,1179,1921687.16157,860787.29784,1931687.16157,850787.29784,269,1921687.16157,860787.29784,1941687.16157,840787.29784,71,1921687.16157,860787.29784,1961687.16157,820787.29784,20,1881687.1615699999965727,860787.2978420000290498,1961687.1615699999965727,780787.2978420000290498,2
11545,130,Rosa gymnocarpa,cdrep,PRESERVED_SPECIMEN,1990,5,14,WGS84,-121.34360,39.64667,TRUE,1926687.16157,850787.29784,1927937.16157,849537.29784,18541,1926687.16157,850787.29784,1929187.16157,848287.29784,4663,1926687.16157,850787.29784,1931687.16157,845787.29784,1180,1921687.16157,850787.29784,1931687.16157,840787.29784,270,1921687.16157,860787.29784,1941687.16157,840787.29784,71,1921687.16157,860787.29784,1961687.16157,820787.29784,20,1881687.1615699999965727,860787.2978420000290498,1961687.1615699999965727,780787.2978420000290498,2
11552,456,Solanum umbelliferum,gass84,PRESERVED_SPECIMEN,1990,5,29,WGS84,-119.00000,37.00000,TRUE,2132937.16157,557037.29784,2134187.16157,555787.29784,103421,2131687.16157,558287.29784,2134187.16157,555787.29784,25854,2131687.16157,560787.29784,2136687.16157,555787.29784,6527,2131687.16157,560787.29784,2141687.16157,550787.29784,1664,2121687.16157,560787.29784,2141687.16157,540787.29784,416,2121687.16157,580787.29784,2161687.16157,540787.29784,112,2121687.1615699999965727,620787.2978420000290498,2201687.1615699999965727,540787.2978420000290498,32
11561,184,Vitis californica,"gass84,gdativ",PRESERVED_SPECIMEN,1990,5,23,WGS84,-121.03330,38.61667,TRUE,1952937.16157,735787.29784,1954187.16157,734537.29784,29406,1951687.16157,735787.29784,1954187.16157,733287.29784,7279,1951687.16157,735787.29784,1956687.16157,730787.29784,1848,1951687.16157,740787.29784,1961687.16157,730787.29784,476,1941687.16157,740787.29784,1961687.16157,720787.29784,110,1921687.16157,740787.29784,1961687.16157,700787.29784,23,1881687.1615699999965727,780787.2978420000290498,1961687.1615699999965727,700787.2978420000290498,3
11564,187,Vitis californica,"cdround,gass84",PRESERVED_SPECIMEN,1990,5,23,WGS84,-121.03330,38.61667,TRUE,1952937.16157,735787.29784,1954187.16157,734537.29784,29406,1951687.16157,735787.29784,1954187.16157,733287.29784,7279,1951687.16157,735787.29784,1956687.16157,730787.29784,1848,1951687.16157,740787.29784,1961687.16157,730787.29784,476,1941687.16157,740787.29784,1961687.16157,720787.29784,110,1921687.16157,740787.29784,1961687.16157,700787.29784,23,1881687.1615699999965727,780787.2978420000290498,1961687.1615699999965727,700787.2978420000290498,3
18264,76,Arctostaphylos nevadensis,"gass84,gdativ",PRESERVED_SPECIMEN,1990,6,25,WGS84,-120.08330,38.70833,TRUE,2035437.16157,745787.29784,2036687.16157,744537.29784,63256,2034187.16157,745787.29784,2036687.16157,743287.29784,15756,2031687.16157,745787.29784,2036687.16157,740787.29784,3910,2031687.16157,750787.29784,2041687.16157,740787.29784,995,2021687.16157,760787.29784,2041687.16157,740787.29784,241,2001687.16157,780787.29784,2041687.16157,740787.29784,56,1961687.1615699999965727,780787.2978420000290498,2041687.1615699999965727,700787.2978420000290498,12
18265,77,Arctostaphylos nevadensis,"gass84,gdativ",PRESERVED_SPECIMEN,1990,6,25,WGS84,-120.08330,38.70833,TRUE,2035437.16157,745787.29784,2036687.16157,744537.29784,63256,2034187.16157,745787.29784,2036687.16157,743287.29784,15756,2031687.16157,745787.29784,2036687.16157,740787.29784,3910,2031687.16157,750787.29784,2041687.16157,740787.29784,995,2021687.16157,760787.29784,2041687.16157,740787.29784,241,2001687.16157,780787.29784,2041687.16157,740787.29784,56,1961687.1615699999965727,780787.2978420000290498,2041687.1615699999965727,700787.2978420000290498,12
18267,103,Cornus nuttallii,"gass84,gdativ",PRESERVED_SPECIMEN,1990,6,3,WGS84,-118.55280,35.73611,TRUE,2175437.16157,418287.29784,2176687.16157,417037.29784,120974,2174187.16157,418287.29784,2176687.16157,415787.29784,30279,2171687.16157,420787.29784,2176687.16157,415787.29784,7587,2171687.16157,420787.29784,2181687.16157,410787.29784,1938,2161687.16157,420787.29784,2181687.16157,400787.29784,489,2161687.16157,420787.29784,2201687.16157,380787.29784,133,2121687.1615699999965727,460787.2978420000290498,2201687.1615699999965727,380787.2978420000290498,34
18269,198,Lonicera interrupta,"gass84,gdativ",PRESERVED_SPECIMEN,1990,6,16,WGS84,-121.19480,39.54760,TRUE,1939187.16157,839537.29784,1940437.16157,838287.29784,23680,1939187.16157,840787.29784,1941687.16157,838287.29784,5952,1936687.16157,840787.29784,1941687.16157,835787.29784,1440,1931687.16157,840787.29784,1941687.16157,830787.29784,336,1921687.16157,840787.29784,1941687.16157,820787.29784,72,1921687.16157,860787.29784,1961687.16157,820787.29784,20,1881687.1615699999965727,860787.2978420000290498,1961687.1615699999965727,780787.2978420000290498,2
18273,202,Lonicera interrupta,cdrep,PRESERVED_SPECIMEN,1990,6,16,WGS84,-121.20360,39.55306,TRUE,1939187.16157,839537.29784,1940437.16157,838287.29784,23680,1939187.16157,840787.29784,1941687.16157,838287.29784,5952,1936687.16157,840787.29784,1941687.16157,835787.29784,1440,1931687.16157,840787.29784,1941687.16157,830787.29784,336,1921687.16157,840787.29784,1941687.16157,820787.29784,72,1921687.16157,860787.29784,1961687.16157,820787.29784,20,1881687.1615699999965727,860787.2978420000290498,1961687.1615699999965727,780787.2978420000290498,2
18286,253,Prunus virginiana,cdrep,PRESERVED_SPECIMEN,1990,6,8,WGS84,-120.71670,39.88417,TRUE,1980437.16157,875787.29784,1981687.16157,874537.29784,40580,1979187.16157,875787.29784,1981687.16157,873287.29784,10050,1976687.16157,875787.29784,1981687.16157,870787.29784,2465,1971687.16157,880787.29784,1981687.16157,870787.29784,592,1961687.16157,880787.29784,1981687.16157,860787.29784,136,1961687.16157,900787.29784,2001687.16157,860787.29784,36,1961687.1615699999965727,940787.2978420000290498,2041687.1615699999965727,860787.2978420000290498,10
18313,63,Ribes viscosissimum,gass84,PRESERVED_SPECIMEN,1990,6,25,WGS84,-120.08330,38.70833,TRUE,2035437.16157,745787.29784,2036687.16157,744537.29784,63256,2034187.16157,745787.29784,2036687.16157,743287.29784,15756,2031687.16157,745787.29784,2036687.16157,740787.29784,3910,2031687.16157,750787.29784,2041687.16157,740787.29784,995,2021687.16157,760787.29784,2041687.16157,740787.29784,241,2001687.16157,780787.29784,2041687.16157,740787.29784,56,1961687.1615699999965727,780787.2978420000290498,2041687.1615699999965727,700787.2978420000290498,12
18314,64,Ribes viscosissimum,cdrep,PRESERVED_SPECIMEN,1990,6,14,WGS84,-121.48060,39.96194,TRUE,1915437.16157,885787.29784,1916687.16157,884537.29784,13896,1914187.16157,885787.29784,1916687.16157,883287.29784,3364,1911687.16157,885787.29784,1916687.16157,880787.29784,786,1911687.16157,890787.29784,1921687.16157,880787.29784,201,1901687.16157,900787.29784,1921687.16157,880787.29784,36,1881687.16157,900787.29784,1921687.16157,860787.29784,2,1881687.1615699999965727,940787.2978420000290498,1961687.1615699999965727,860787.2978420000290498,1
18323,131,Rosa gymnocarpa,cdrep,PRESERVED_SPECIMEN,1990,6,15,WGS84,-120.71780,39.89611,TRUE,1980437.16157,877037.29784,1981687.16157,875787.29784,40579,1979187.16157,878287.29784,1981687.16157,875787.29784,10049,1976687.16157,880787.29784,1981687.16157,875787.29784,2464,1971687.16157,880787.29784,1981687.16157,870787.29784,592,1961687.16157,880787.29784,1981687.16157,860787.29784,136,1961687.16157,900787.29784,2001687.16157,860787.29784,36,1961687.1615699999965727,940787.2978420000290498,2041687.1615699999965727,860787.2978420000290498,10
18329,90,Sambucus racemosa,cdrep,PRESERVED_SPECIMEN,1990,6,20,WGS84,-121.41720,40.02056,TRUE,1920437.16157,892037.29784,1921687.16157,890787.29784,15943,1919187.16157,893287.29784,1921687.16157,890787.29784,3875,1916687.16157,895787.29784,1921687.16157,890787.29784,913,1911687.16157,900787.29784,1921687.16157,890787.29784,200,1901687.16157,900787.29784,1921687.16157,880787.29784,36,1881687.16157,900787.29784,1921687.16157,860787.29784,2,1881687.1615699999965727,940787.2978420000290498,1961687.1615699999965727,860787.2978420000290498,1
18331,92,Sambucus racemosa,cdrep,PRESERVED_SPECIMEN,1990,6,27,WGS84,-120.72470,39.95639,TRUE,1980437.16157,884537.29784,1981687.16157,883287.29784,40573,1979187.16157,885787.29784,1981687.16157,883287.29784,10046,1976687.16157,885787.29784,1981687.16157,880787.29784,2463,1971687.16157,890787.29784,1981687.16157,880787.29784,591,1961687.16157,900787.29784,1981687.16157,880787.29784,135,1961687.16157,900787.29784,2001687.16157,860787.29784,36,1961687.1615699999965727,940787.2978420000290498,2041687.1615699999965727,860787.2978420000290498,10
18337,464,Solanum umbelliferum,gass84,PRESERVED_SPECIMEN,1990,6,8,WGS84,-119.00000,37.00000,TRUE,2132937.16157,557037.29784,2134187.16157,555787.29784,103421,2131687.16157,558287.29784,2134187.16157,555787.29784,25854,2131687.16157,560787.29784,2136687.16157,555787.29784,6527,2131687.16157,560787.29784,2141687.16157,550787.29784,1664,2121687.16157,560787.29784,2141687.16157,540787.29784,416,2121687.16157,580787.29784,2161687.16157,540787.29784,112,2121687.1615699999965727,620787.2978420000290498,2201687.1615699999965727,540787.2978420000290498,32
18344,210,Symphoricarpos rotundifolius,cdrep,PRESERVED_SPECIMEN,1990,6,28,WGS84,-120.72560,39.95667,TRUE,1980437.16157,884537.29784,1981687.16157,883287.29784,40573,1979187.16157,885787.29784,1981687.16157,883287.29784,10046,1976687.16157,885787.29784,1981687.16157,880787.29784,2463,1971687.16157,890787.29784,1981687.16157,880787.29784,591,1961687.16157,900787.29784,1981687.16157,880787.29784,135,1961687.16157,900787.29784,2001687.16157,860787.29784,36,1961687.1615699999965727,940787.2978420000290498,2041687.1615699999965727,860787.2978420000290498,10
18345,82,Vaccinium cespitosum,,PRESERVED_SPECIMEN,1990,6,26,WGS84,-119.92040,38.61397,TRUE,2050437.16157,735787.29784,2051687.16157,734537.29784,69420,2049187.16157,735787.29784,2051687.16157,733287.29784,17302,2046687.16157,735787.29784,2051687.16157,730787.29784,4299,2041687.16157,740787.29784,2051687.16157,730787.29784,1061,2041687.16157,740787.29784,2061687.16157,720787.29784,275,2041687.16157,740787.29784,2081687.16157,700787.29784,74,2041687.1615699999965727,780787.2978420000290498,2121687.1615699999965727,700787.2978420000290498,21
18346,74,Vaccinium uliginosum,,PRESERVED_SPECIMEN,1990,6,22,WGS84,-118.75640,37.50056,TRUE,2152937.16157,613287.29784,2154187.16157,612037.29784,111584,2151687.16157,613287.29784,2154187.16157,610787.29784,27888,2151687.16157,615787.29784,2156687.16157,610787.29784,7032,2151687.16157,620787.29784,2161687.16157,610787.29784,1788,2141687.16157,620787.29784,2161687.16157,600787.29784,446,2121687.16157,620787.29784,2161687.16157,580787.29784,111,2121687.1615699999965727,620787.2978420000290498,2201687.1615699999965727,540787.2978420000290498,32
18347,75,Vaccinium uliginosum,,PRESERVED_SPECIMEN,1990,6,26,WGS84,-119.91710,38.61483,TRUE,2050437.16157,735787.29784,2051687.16157,734537.29784,69420,2049187.16157,735787.29784,2051687.16157,733287.29784,17302,2046687.16157,735787.29784,2051687.16157,730787.29784,4299,2041687.16157,740787.29784,2051687.16157,730787.29784,1061,2041687.16157,740787.29784,2061687.16157,720787.29784,275,2041687.16157,740787.29784,2081687.16157,700787.29784,74,2041687.1615699999965727,780787.2978420000290498,2121687.1615699999965727,700787.2978420000290498,21
25188,80,Arctostaphylos nevadensis,,PRESERVED_SPECIMEN,1990,7,2,WGS84,-118.74650,36.85768,TRUE,2155437.16157,542037.29784,2156687.16157,540787.29784,112667,2154187.16157,543287.29784,2156687.16157,540787.29784,28173,2151687.16157,545787.29784,2156687.16157,540787.29784,7046,2151687.16157,550787.29784,2161687.16157,540787.29784,1795,2141687.16157,560787.29784,2161687.16157,540787.29784,449,2121687.16157,580787.29784,2161687.16157,540787.29784,112,2121687.1615699999965727,620787.2978420000290498,2201687.1615699999965727,540787.2978420000290498,32
25192,213,Cornus sericea,"gass84,gdativ",PRESERVED_SPECIMEN,1990,7,3,WGS84,-118.71390,36.84556,TRUE,2159187.16157,540787.29784,2160437.16157,539537.29784,114207,2159187.16157,540787.29784,2161687.16157,538287.29784,28688,2156687.16157,540787.29784,2161687.16157,535787.29784,7176,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25194,91,Frangula purshiana,cdrep,PRESERVED_SPECIMEN,1990,7,19,WGS84,-121.41190,40.01972,TRUE,1921687.16157,892037.29784,1922937.16157,890787.29784,16456,1921687.16157,893287.29784,1924187.16157,890787.29784,4132,1921687.16157,895787.29784,1926687.16157,890787.29784,1042,1921687.16157,900787.29784,1931687.16157,890787.29784,265,1921687.16157,900787.29784,1941687.16157,880787.29784,69,1921687.16157,900787.29784,1961687.16157,860787.29784,19,1881687.1615699999965727,940787.2978420000290498,1961687.1615699999965727,860787.2978420000290498,1
25202,219,Prunus emarginata,,PRESERVED_SPECIMEN,1990,7,2,WGS84,-118.74650,36.85768,TRUE,2155437.16157,542037.29784,2156687.16157,540787.29784,112667,2154187.16157,543287.29784,2156687.16157,540787.29784,28173,2151687.16157,545787.29784,2156687.16157,540787.29784,7046,2151687.16157,550787.29784,2161687.16157,540787.29784,1795,2141687.16157,560787.29784,2161687.16157,540787.29784,449,2121687.16157,580787.29784,2161687.16157,540787.29784,112,2121687.1615699999965727,620787.2978420000290498,2201687.1615699999965727,540787.2978420000290498,32
25204,258,Prunus virginiana,"gass84,gdativ",PRESERVED_SPECIMEN,1990,7,2,WGS84,-118.75000,36.83750,TRUE,2155437.16157,539537.29784,2156687.16157,538287.29784,112669,2154187.16157,540787.29784,2156687.16157,538287.29784,28174,2151687.16157,540787.29784,2156687.16157,535787.29784,7047,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25205,259,Prunus virginiana,gass84,PRESERVED_SPECIMEN,1990,7,2,WGS84,-118.75000,36.83750,TRUE,2155437.16157,539537.29784,2156687.16157,538287.29784,112669,2154187.16157,540787.29784,2156687.16157,538287.29784,28174,2151687.16157,540787.29784,2156687.16157,535787.29784,7047,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25206,260,Prunus virginiana,gass84,PRESERVED_SPECIMEN,1990,7,2,WGS84,-118.75000,36.83750,TRUE,2155437.16157,539537.29784,2156687.16157,538287.29784,112669,2154187.16157,540787.29784,2156687.16157,538287.29784,28174,2151687.16157,540787.29784,2156687.16157,535787.29784,7047,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25208,304,Ribes cereum,,PRESERVED_SPECIMEN,1990,7,2,WGS84,-118.74650,36.85768,TRUE,2155437.16157,542037.29784,2156687.16157,540787.29784,112667,2154187.16157,543287.29784,2156687.16157,540787.29784,28173,2151687.16157,545787.29784,2156687.16157,540787.29784,7046,2151687.16157,550787.29784,2161687.16157,540787.29784,1795,2141687.16157,560787.29784,2161687.16157,540787.29784,449,2121687.16157,580787.29784,2161687.16157,540787.29784,112,2121687.1615699999965727,620787.2978420000290498,2201687.1615699999965727,540787.2978420000290498,32
25209,59,Ribes montigenum,"cdround,gass84",PRESERVED_SPECIMEN,1990,7,1,WGS84,-118.76670,36.85000,TRUE,2154187.16157,540787.29784,2155437.16157,539537.29784,112155,2154187.16157,540787.29784,2156687.16157,538287.29784,28174,2151687.16157,540787.29784,2156687.16157,535787.29784,7047,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25210,60,Ribes montigenum,"gass84,gdativ",PRESERVED_SPECIMEN,1990,7,1,WGS84,-118.76670,36.85000,TRUE,2154187.16157,540787.29784,2155437.16157,539537.29784,112155,2154187.16157,540787.29784,2156687.16157,538287.29784,28174,2151687.16157,540787.29784,2156687.16157,535787.29784,7047,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25211,61,Ribes montigenum,gass84,PRESERVED_SPECIMEN,1990,7,1,WGS84,-118.76670,36.85000,TRUE,2154187.16157,540787.29784,2155437.16157,539537.29784,112155,2154187.16157,540787.29784,2156687.16157,538287.29784,28174,2151687.16157,540787.29784,2156687.16157,535787.29784,7047,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25213,394,Ribes nevadense,"gass84,gdativ",PRESERVED_SPECIMEN,1990,7,3,WGS84,-118.73670,36.85250,TRUE,2156687.16157,540787.29784,2157937.16157,539537.29784,113181,2156687.16157,540787.29784,2159187.16157,538287.29784,28431,2156687.16157,540787.29784,2161687.16157,535787.29784,7176,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25218,399,Ribes nevadense,gass84,PRESERVED_SPECIMEN,1990,7,3,WGS84,-118.73670,36.85250,TRUE,2156687.16157,540787.29784,2157937.16157,539537.29784,113181,2156687.16157,540787.29784,2159187.16157,538287.29784,28431,2156687.16157,540787.29784,2161687.16157,535787.29784,7176,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25220,401,Ribes nevadense,"cdround,gass84",PRESERVED_SPECIMEN,1990,7,3,WGS84,-118.73670,36.85250,TRUE,2156687.16157,540787.29784,2157937.16157,539537.29784,113181,2156687.16157,540787.29784,2159187.16157,538287.29784,28431,2156687.16157,540787.29784,2161687.16157,535787.29784,7176,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25221,334,Ribes roezlii,"gass84,gdativ",PRESERVED_SPECIMEN,1990,7,3,WGS84,-118.73580,36.85139,TRUE,2156687.16157,540787.29784,2157937.16157,539537.29784,113181,2156687.16157,540787.29784,2159187.16157,538287.29784,28431,2156687.16157,540787.29784,2161687.16157,535787.29784,7176,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25222,335,Ribes roezlii,"cdround,gass84",PRESERVED_SPECIMEN,1990,7,3,WGS84,-118.73580,36.85139,TRUE,2156687.16157,540787.29784,2157937.16157,539537.29784,113181,2156687.16157,540787.29784,2159187.16157,538287.29784,28431,2156687.16157,540787.29784,2161687.16157,535787.29784,7176,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
25223,336,Ribes roezlii,gass84,PRESERVED_SPECIMEN,1990,7,3,WGS84,-118.73580,36.85139,TRUE,2156687.16157,540787.29784,2157937.16157,539537.29784,113181,2156687.16157,540787.29784,2159187.16157,538287.29784,28431,2156687.16157,540787.29784,2161687.16157,535787.29784,7176,2151687.16157,540787.29784,2161687.16157,530787.29784,1796,2141687.16157,540787.29784,2161687.16157,520787.29784,450,2121687.16157,540787.29784,2161687.16157,500787.29784,113,2121687.1615699999965727,540787.2978420000290498,2201687.1615699999965727,460787.2978420000290498,33
